color,full_name,id,name,route_type,subtype,type,point.lat,point.lon,city
#E90101,"Москва, Прокшино",70030076182844294,Прокшино,metro,metro,station,55.586458,37.433136,Москва
#E90101,"Москва, Ольховая",70030076182844297,Ольховая,metro,metro,station,55.569063,37.458993,Москва
#E90101,"Москва, Новомосковская",70030076182844300,Новомосковская,metro,metro,station,55.559999,37.468689,Москва
#ACBFE1,"Москва, Бунинская аллея",4504385606388666,Бунинская аллея,metro,metro,station,55.537976,37.515831,Москва
#ACBFE1,"Москва, Бульвар Адмирала Ушакова",4504385606386967,Бульвар Адмирала Ушакова,metro,metro,station,55.545264,37.542472,Москва
#ACBFE1,"Москва, Улица Скобелевская",4504385606390711,Улица Скобелевская,metro,metro,station,55.548089,37.554462,Москва
#ACBFE1,"Москва, Улица Горчакова",4504385606390710,Улица Горчакова,metro,metro,station,55.541967,37.53147,Москва
#758190,"Москва, Бульвар Дмитрия Донского",4504385606388441,Бульвар Дмитрия Донского,metro,metro,station,55.568869,37.576779,Москва
#758190,"Москва, Аннино",4504385606388151,Аннино,metro,metro,station,55.582869,37.5968,Москва
#ACBFE1,"Москва, Лесопарковая",4504385606394422,Лесопарковая,metro,metro,station,55.582044,37.57696,Москва
#E94282,"Москва, Бутово",70030076195138613,Бутово,mcd,railway,station,55.541256,37.570586,Москва
#ACBFE1,"Москва, Улица Старокачаловская",4504385606389402,Улица Старокачаловская,metro,metro,station,55.568933,37.576514,Москва
#E90101,"Москва, Филатов Луг",70030076182844291,Филатов Луг,metro,metro,station,55.601152,37.408,Москва
#337562,"Москва, Корниловская",70030077003597077,Корниловская,metro,metro,station,55.598502,37.479072,Москва
#EA6A00,"Москва, Ясенево",4504385606390702,Ясенево,metro,metro,station,55.606377,37.533047,Москва
#758190,"Москва, Улица Академика Янгеля",4504385606390690,Улица Академика Янгеля,metro,metro,station,55.595108,37.600433,Москва
#EA6A00,"Москва, Новоясеневская",4504385606388386,Новоясеневская,metro,metro,station,55.600803,37.554584,Москва
#ACBFE1,"Москва, Битцевский парк",4504385606394423,Битцевский парк,metro,metro,station,55.600351,37.556082,Москва
#758190,"Москва, Пражская",4504385606390691,Пражская,metro,metro,station,55.612271,37.604494,Москва
#E94282,"Москва, Красный Строитель",70030076195138499,Красный Строитель,mcd,railway,station,55.5902,37.615317,Москва
#E94282,"Москва, Покровское",70030076195138449,Покровское,mcd,railway,station,55.602942,37.632074,Москва
#3EA332,"Москва, Домодедовская",4504385606386478,Домодедовская,metro,metro,station,55.610948,37.719035,Москва
#3EA332,"Москва, Красногвардейская",4504385606386499,Красногвардейская,metro,metro,station,55.613696,37.744461,Москва
#3EA332,"Москва, Орехово",4504385606386556,Орехово,metro,metro,station,55.613242,37.69481,Москва
#78C800,"Москва, Зябликово",4504385606391486,Зябликово,metro,metro,station,55.612211,37.745146,Москва
#FFDF05,"Москва, Аэропорт Внуково",70030076659569280,Аэропорт Внуково,metro,metro,station,55.607023,37.287762,Москва
#FFDF05,"Москва, Рассказовка",70030076166951983,Рассказовка,metro,metro,station,55.633965,37.334713,Москва
#FFDF05,"Москва, Пыхтино",70030076659568846,Пыхтино,metro,metro,station,55.62461,37.296018,Москва
#E90101,"Москва, Саларьево",4504385645131878,Саларьево,metro,metro,station,55.621921,37.424155,Москва
#E90101,"Москва, Румянцево",4504385645014037,Румянцево,metro,metro,station,55.632965,37.441939,Москва
#FFDF05,"Москва, Новопеределкино",70030076166951933,Новопеределкино,metro,metro,station,55.639643,37.355218,Москва
#3CB183,"Москва, Новопеределкино",70030076680677655,Новопеределкино,mcd,railway,station,55.637878,37.383376,Москва
#EA6A00,"Москва, Тёплый Стан",4504385606390703,Тёплый Стан,metro,metro,station,55.618866,37.508222,Москва
#EA6A00,"Москва, Коньково",4504385606386756,Коньково,metro,metro,station,55.633208,37.518977,Москва
#337562,"Москва, Генерала Тюленева",70030076944723667,Генерала Тюленева,metro,metro,station,55.626193,37.485671,Москва
#337562,"Москва, Тютчевская",70030076944723383,Тютчевская,metro,metro,station,55.618939,37.480985,Москва
#758190,"Москва, Чертановская",4504385606390693,Чертановская,metro,metro,station,55.640567,37.606268,Москва
#758190,"Москва, Южная",4504385606390692,Южная,metro,metro,station,55.622235,37.609164,Москва
#3EA332,"Москва, Царицыно",4504385606386630,Царицыно,metro,metro,station,55.621439,37.669271,Москва
#3EA332,"Москва, Кантемировская",4504385606386349,Кантемировская,metro,metro,station,55.635765,37.656585,Москва
#78C800,"Москва, Шипиловская",4504385606391485,Шипиловская,metro,metro,station,55.621067,37.743645,Москва
#E94282,"Москва, Царицыно",70030076195138425,Царицыно,mcd,railway,station,55.618184,37.668262,Москва
#E94282,"Москва, Москворечье",70030076195138385,Москворечье,mcd,railway,station,55.64087,37.68955,Москва
#3EA332,"Москва, Алма-Атинская",4504385606392734,Алма-Атинская,metro,metro,station,55.63286,37.765931,Москва
#78C800,"Москва, Борисово",4504385606385665,Борисово,metro,metro,station,55.633184,37.743658,Москва
#FFDF05,"Москва, Солнцево",70030076166951828,Солнцево,metro,metro,station,55.649589,37.391135,Москва
#FFDF05,"Москва, Боровское шоссе",70030076166951868,Боровское шоссе,metro,metro,station,55.647711,37.370176,Москва
#3CB183,"Москва, Переделкино",4504385606390350,Переделкино,mcd,railway,station,55.656325,37.356492,Москва
#3CB183,"Москва, Солнечная",4504385606390347,Солнечная,mcd,railway,station,55.657166,37.384559,Москва
#3CB183,"Москва, Мичуринец",4504385606390353,Мичуринец,mcd,railway,station,55.646202,37.315395,Москва
#3CB183,"Москва, Солнечная",70030076677161947,Солнечная,mcd,railway,station,55.657122,37.38552,Москва
#E90101,"Москва, Юго-Западная",4504385606386558,Юго-Западная,metro,metro,station,55.663808,37.483384,Москва
#FFDF05,"Москва, Озёрная",70030076166951700,Озёрная,metro,metro,station,55.670479,37.44846,Москва
#E90101,"Москва, Тропарёво",4504385625895902,Тропарёво,metro,metro,station,55.645826,37.472475,Москва
#FFDF05,"Москва, Говорово",70030076166951752,Говорово,metro,metro,station,55.659615,37.416988,Москва
#337562,"Москва, Университет дружбы народов",70030076944724934,Университет дружбы народов,metro,metro,station,55.64813,37.5073,Москва
#3CB183,"Москва, Мещерская",4504385606390344,Мещерская,mcd,railway,station,55.666807,37.42494,Москва
#EA6A00,"Москва, Беляево",4504385606386750,Беляево,metro,metro,station,55.642796,37.525836,Москва
#EA6A00,"Москва, Калужская",4504385606386713,Калужская,metro,metro,station,55.656787,37.540135,Москва
#EA6A00,"Москва, Новые Черёмушки",4504385606390704,Новые Черёмушки,metro,metro,station,55.670262,37.554705,Москва
#00B7A6,"Москва, Зюзино",70030076320447114,Зюзино,metro,metro,station,55.655697,37.573806,Москва
#00B7A6,"Москва, Новаторская",70030076320443944,Новаторская,metro,metro,station,55.669135,37.523298,Москва
#00B7A6,"Москва, Каховская",4504385606386780,Каховская,metro,metro,station,55.652977,37.598603,Москва
#758190,"Москва, Севастопольская",4504385606386779,Севастопольская,metro,metro,station,55.652442,37.598401,Москва
#00B7A6,"Москва, Воронцовская",70030076320445332,Воронцовская,metro,metro,station,55.658894,37.539303,Москва
#00B7A6,"Москва, Варшавская",4504385606386666,Варшавская,metro,metro,station,55.653388,37.619462,Москва
#00B7A6,"Москва, Каширская",4504385606386183,Каширская,metro,metro,station,55.655214,37.648674,Москва
#758190,"Москва, Нахимовский проспект",4504385606386283,Нахимовский проспект,metro,metro,station,55.662588,37.605464,Москва
#3EA332,"Москва, Каширская",4504385606391045,Каширская,metro,metro,station,55.655054,37.649024,Москва
#E94282,"Москва, Курьяново",70030076214773492,Курьяново,mcd,railway,station,55.649399,37.700961,Москва
#78C800,"Москва, Братиславская",4504385606388267,Братиславская,metro,metro,station,55.659733,37.750654,Москва
#78C800,"Москва, Марьино",4504385606388495,Марьино,metro,metro,station,55.649976,37.743085,Москва
#E94282,"Москва, Перерва",70030076195138323,Перерва,mcd,railway,station,55.660944,37.716359,Москва
#3CB183,"Москва, Внуково",4504385606390356,Внуково,mcd,railway,station,55.64902,37.269322,Москва
#3CB183,"Москва, Очаково",4504385606390342,Очаково,mcd,railway,station,55.68366,37.451442,Москва
#E90101,"Москва, Проспект Вернадского",4504385606390685,Проспект Вернадского,metro,metro,station,55.67722,37.506051,Москва
#00B7A6,"Москва, Аминьевская",70030076320408445,Аминьевская,metro,metro,station,55.697313,37.464766,Москва
#FFDF05,"Москва, Раменки",70030076129410617,Раменки,metro,metro,station,55.697593,37.49849,Москва
#FFDF05,"Москва, Мичуринский проспект",70030076166951617,Мичуринский проспект,metro,metro,station,55.689468,37.483028,Москва
#337562,"Москва, Вавиловская",70030077097012280,Вавиловская,metro,metro,station,55.68478,37.540837,Москва
#00B7A6,"Москва, Мичуринский проспект",70030076320411130,Мичуринский проспект,metro,metro,station,55.688284,37.485216,Москва
#00B7A6,"Москва, Проспект Вернадского",70030076320440259,Проспект Вернадского,metro,metro,station,55.678501,37.503846,Москва
#3CB183,"Москва, Аминьевская",70030076677163534,Аминьевская,mcd,railway,station,55.697722,37.469211,Москва
#337562,"Москва, Новаторская",70030076944727758,Новаторская,metro,metro,station,55.671809,37.521691,Москва
#EA6A00,"Москва, Академическая",4504385606386849,Академическая,metro,metro,station,55.68782,37.573396,Москва
#758190,"Москва, Нагатинская",4504385606390695,Нагатинская,metro,metro,station,55.683101,37.622478,Москва
#EA6A00,"Москва, Профсоюзная",4504385606386862,Профсоюзная,metro,metro,station,55.677939,37.562937,Москва
#758190,"Москва, Нагорная",4504385606390694,Нагорная,metro,metro,station,55.672336,37.610467,Москва
#E90101,"Москва, Верхние Котлы",70030076320253557,Верхние Котлы,mcc,railway,station,55.690087,37.618685,Москва
#E90101,"Москва, Крымская",4504385655853565,Крымская,mcc,railway,station,55.690003,37.605346,Москва
#337562,"Москва, Крымская",70030077097013524,Крымская,metro,metro,station,55.689766,37.608834,Москва
#337562,"Москва, Академическая",70030077097012962,Академическая,metro,metro,station,55.687045,37.575641,Москва
#3EA332,"Москва, Коломенская",4504385606390670,Коломенская,metro,metro,station,55.678484,37.664098,Москва
#3EA332,"Москва, Технопарк",4504385645012026,Технопарк,metro,metro,station,55.694369,37.664332,Москва
#00B7A6,"Москва, Нагатинский Затон",70030076442099776,Нагатинский Затон,metro,metro,station,55.684497,37.704435,Москва
#00B7A6,"Москва, Кленовый бульвар",70030076442099780,Кленовый бульвар,metro,metro,station,55.674497,37.680771,Москва
#E94282,"Москва, Люблино",70030076267990967,Люблино,mcd,railway,station,55.685463,37.734101,Москва
#E94282,"Москва, Депо",70030076195138272,Депо,mcd,railway,station,55.673898,37.728098,Москва
#78C800,"Москва, Люблино",4504385606390700,Люблино,metro,metro,station,55.675619,37.76193,Москва
#78C800,"Москва, Волжская",4504385606387508,Волжская,metro,metro,station,55.690932,37.752924,Москва
#9B007F,"Москва, Жулебино",4504385606394114,Жулебино,metro,metro,station,55.685265,37.85613,Москва
#00B7A6,"Москва, Давыдково",70030076320395113,Давыдково,metro,metro,station,55.714659,37.451933,Москва
#3CB183,"Москва, Матвеевская",4504385606390341,Матвеевская,mcd,railway,station,55.704694,37.481903,Москва
#E90101,"Москва, Воробьёвы горы",4504385606388222,Воробьёвы горы,metro,metro,station,55.710561,37.559593,Москва
#EA6A00,"Москва, Ленинский проспект",4504385606385824,Ленинский проспект,metro,metro,station,55.707805,37.586422,Москва
#E90101,"Москва, Университет",4504385606390686,Университет,metro,metro,station,55.692693,37.533348,Москва
#E90101,"Москва, Спортивная",4504385606388225,Спортивная,metro,metro,station,55.723335,37.563917,Москва
#FFDF05,"Москва, Ломоносовский проспект",70030076129410599,Ломоносовский проспект,metro,metro,station,55.707071,37.515982,Москва
#E90101,"Москва, Лужники",4504385655411405,Лужники,mcc,railway,station,55.720889,37.560348,Москва
#E90101,"Москва, Площадь Гагарина",4504385655856574,Площадь Гагарина,mcc,railway,station,55.707166,37.58611,Москва
#3EA332,"Москва, Автозаводская",4504385606385981,Автозаводская,metro,metro,station,55.70727,37.65776,Москва
#758190,"Москва, Тульская",4504385606385832,Тульская,metro,metro,station,55.708702,37.622819,Москва
#78C800,"Москва, Дубровка",4504385606385968,Дубровка,metro,metro,station,55.718704,37.675923,Москва
#EA6A00,"Москва, Шаболовская",4504385606387220,Шаболовская,metro,metro,station,55.719843,37.607723,Москва
#78C800,"Москва, Кожуховская",4504385606385974,Кожуховская,metro,metro,station,55.707292,37.684902,Москва
#E90101,"Москва, ЗИЛ",4504385655417928,ЗИЛ,mcc,railway,station,55.698359,37.648593,Москва
#337562,"Москва, ЗИЛ",70030077097013722,ЗИЛ,metro,metro,station,55.697069,37.645501,Москва
#E90101,"Москва, Дубровка",4504385655417925,Дубровка,mcc,railway,station,55.71252,37.677243,Москва
#E90101,"Москва, Автозаводская",4504385655417937,Автозаводская,mcc,railway,station,55.706135,37.662619,Москва
#9B007F,"Москва, Кузьминки",4504385606390678,Кузьминки,metro,metro,station,55.705618,37.76581,Москва
#9B007F,"Москва, Текстильщики",4504385606390679,Текстильщики,metro,metro,station,55.708777,37.731345,Москва
#78C800,"Москва, Печатники",4504385606386109,Печатники,metro,metro,station,55.693012,37.728026,Москва
