"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url,OSM_address,address_info,district,lat,lon
1500000,"Пречистенка, 19/11 ст2",Москва,13636,110,Универсальное помещение,https://msk.n1.ru/view/114210381/?open_card_kn,"Пречистенка, 19/11 ст2, Москва, Россия","{'district': 'район Хамовники', 'lat': 55.7430154, 'lon': 37.5969667}",район Хамовники,55.7430154,37.5969667
1197919,"Таежная, 1",Москва,1917,625,Универсальное помещение,https://msk.n1.ru/view/115999047/?open_card_kn,"Таежная, 1, Москва, Россия","{'district': 'Лосиноостровский район', 'lat': 55.8811065, 'lon': 37.7007356}",Лосиноостровский район,55.8811065,37.7007356
274809,"Дмитровка Б., 32 ст4",Москва,4084,67,Универсальное помещение,https://msk.n1.ru/view/116261376/?open_card_kn,"Дмитровка Б., 32 ст4, Москва, Россия","{'district': 'Район не найден', 'lat': 55.1728895, 'lon': 37.1228243}",Район не найден,55.1728895,37.1228243
386458,"Шумкина, 20 ст1",Москва,1459,265,Универсальное помещение,https://msk.n1.ru/view/116011103/?open_card_kn,"Шумкина, 20 ст1, Москва, Россия","{'district': 'район Сокольники', 'lat': 55.7894219, 'lon': 37.6669807}",район Сокольники,55.7894219,37.6669807
68125,"Шумкина, 20 ст1",Москва,2084,32,Универсальное помещение,https://msk.n1.ru/view/115777113/?open_card_kn,"Шумкина, 20 ст1, Москва, Россия","{'district': 'район Сокольники', 'lat': 55.7894219, 'lon': 37.6669807}",район Сокольники,55.7894219,37.6669807
320100,"Павелецкий 2-й проезд, 5 ст1",Москва,3000,106,Универсальное помещение,https://msk.n1.ru/view/115502574/?open_card_kn,"Павелецкий 2-й проезд, 5 ст1, Москва, Россия","{'district': 'Даниловский район', 'lat': 55.7132116, 'lon': 37.6434932}",Даниловский район,55.7132116,37.6434932
293601,"Мира проспект, 102 ст17",Москва,2667,110,Универсальное помещение,https://msk.n1.ru/view/114858057/?open_card_kn,"Мира проспект, 102 ст17, Москва, Россия","{'district': 'Алексеевский район', 'lat': 55.8224761, 'lon': 37.6434204}",Алексеевский район,55.8224761,37.6434204
684000,"Варшавское шоссе, 170г",Москва,1200,570,Универсальное помещение,https://msk.n1.ru/view/114751732/?open_card_kn,"Варшавское шоссе, 170г, Москва, Россия","{'district': 'район Чертаново Южное', 'lat': 55.579517, 'lon': 37.5917295}",район Чертаново Южное,55.579517,37.5917295
239500,"Дмитровское шоссе, 81",Москва,2661,90,Универсальное помещение,https://msk.n1.ru/view/114113806/?open_card_kn,"Дмитровское шоссе, 81, Москва, Россия","{'district': 'район Западное Дегунино', 'lat': 55.8615522, 'lon': 37.5499825}",район Западное Дегунино,55.8615522,37.5499825
262800,"Мустая Карима, 12",Москва,3000,87,Универсальное помещение,https://msk.n1.ru/view/113865903/?open_card_kn,"Мустая Карима, 12, Москва, Россия","{'district': 'Даниловский район', 'lat': 55.6882003, 'lon': 37.6595221}",Даниловский район,55.6882003,37.6595221
75400,"Старопетровский проезд, 9а",Москва,1999,37,Универсальное помещение,https://msk.n1.ru/view/112811168/?open_card_kn,"Старопетровский проезд, 9а, Москва, Россия","{'district': 'Войковский район', 'lat': 55.8242365, 'lon': 37.5010584}",Войковский район,55.8242365,37.5010584
800000,"Масловка Верхн., 20 ст1",Москва,2817,283,Универсальное помещение,https://msk.n1.ru/view/111240795/?open_card_kn,"Масловка Верхн., 20 ст1, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
75600,"Вернадского проспект, 105",Москва,2000,37,Универсальное помещение,https://msk.n1.ru/view/93156451/?open_card_kn,"Вернадского проспект, 105, Москва, Россия","{'district': 'Тропарёво-Никулино', 'lat': 55.6630568, 'lon': 37.4857567}",Тропарёво-Никулино,55.6630568,37.4857567
276000,"Конструктора Гуськова, 8 ст10",Москва,1380,200,Универсальное помещение,https://msk.n1.ru/view/114562893/?open_card_kn,"Конструктора Гуськова, 8 ст10, Москва, Россия","{'district': 'район Силино', 'lat': 56.0148953, 'lon': 37.1919892}",район Силино,56.0148953,37.1919892
358800,"проезд улицашоссепр-дпр-д-й, 4 ст4",Москва,1560,230,Универсальное помещение,https://msk.n1.ru/view/114562535/?open_card_kn,"проезд улицашоссепр-дпр-д-й, 4 ст4, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
106334,"Малая Семеновская, 9 ст3",Москва,1667,63,Универсальное помещение,https://msk.n1.ru/view/114947525/?open_card_kn,"Малая Семеновская, 9 ст3, Москва, Россия","{'district': 'район Соколиная Гора', 'lat': 55.7847545, 'lon': 37.7094227}",район Соколиная Гора,55.7847545,37.7094227
644625,"Братьев Весниных бульвар, 1",Москва,3750,171,Универсальное помещение,https://msk.n1.ru/view/77584667/?open_card_kn,"Братьев Весниных бульвар, 1, Москва, Россия","{'district': 'Даниловский район', 'lat': 55.6981405, 'lon': 37.6400943}",Даниловский район,55.6981405,37.6400943
6235000,"Варшавское шоссе, 170г",Москва,725,8600,Универсальное помещение,https://msk.n1.ru/view/114944913/?open_card_kn,"Варшавское шоссе, 170г, Москва, Россия","{'district': 'район Чертаново Южное', 'lat': 55.579517, 'lon': 37.5917295}",район Чертаново Южное,55.579517,37.5917295
87600,"проезд улицашоссепр-дпр-д-й, 4 ст4",Москва,2400,36,Универсальное помещение,https://msk.n1.ru/view/114547323/?open_card_kn,"проезд улицашоссепр-дпр-д-й, 4 ст4, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
2073750,"Причальный проезд, 10 корп. 2",Москва,2916,711,Универсальное помещение,https://msk.n1.ru/view/115261051/?open_card_kn,"Причальный проезд, 10 корп. 2, Москва, Россия","{'district': 'район Хорошёво-Мнёвники', 'lat': 55.7601051, 'lon': 37.5183196}",район Хорошёво-Мнёвники,55.7601051,37.5183196
175350,"Летчика Грицевца (п Внуковское), 5",Москва,1500,116,Универсальное помещение,https://msk.n1.ru/view/113087033/?open_card_kn,"Летчика Грицевца (п Внуковское), 5, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
596100,"Летчика Ульянина (п Внуковское), 4",Москва,2500,238,Универсальное помещение,https://msk.n1.ru/view/113803399/?open_card_kn,"Летчика Ульянина (п Внуковское), 4, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
78000,"Электродная, 2 ст3",Москва,1425,54,Универсальное помещение,https://msk.n1.ru/view/113074067/?open_card_kn,"Электродная, 2 ст3, Москва, Россия","{'district': 'район Перово', 'lat': 55.7520018, 'lon': 37.7543678}",район Перово,55.7520018,37.7543678
1664000,"Хорошевский 2-й проезд, 7 ст17",Москва,2000,832,Универсальное помещение,https://msk.n1.ru/view/116256089/?open_card_kn,"Хорошевский 2-й проезд, 7 ст17, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
11999845,"Нежинская, 13а",Москва,4648,2582,Универсальное помещение,https://msk.n1.ru/view/113790877/?open_card_kn,"Нежинская, 13а, Москва, Россия","{'district': 'район Очаково-Матвеевское', 'lat': 55.7079702, 'lon': 37.4684119}",район Очаково-Матвеевское,55.7079702,37.4684119
1500000,"Пречистенка, 19/11 ст2",Москва,13636,110,Универсальное помещение,https://msk.n1.ru/view/114181056/?open_card_kn,"Пречистенка, 19/11 ст2, Москва, Россия","{'district': 'район Хамовники', 'lat': 55.7430154, 'lon': 37.5969667}",район Хамовники,55.7430154,37.5969667
260000,"Амурская, 2а корп. 4",Москва,3023,86,Универсальное помещение,https://msk.n1.ru/view/116216006/?open_card_kn,"Амурская, 2а корп. 4, Москва, Россия","{'district': 'район Гольяново', 'lat': 55.8058702, 'lon': 37.753115}",район Гольяново,55.8058702,37.753115
499000,"Сеченовский переулок, 5",Москва,4339,115,Универсальное помещение,https://msk.n1.ru/view/115918879/?open_card_kn,"Сеченовский переулок, 5, Москва, Россия","{'district': 'район Хамовники', 'lat': 55.7408354, 'lon': 37.5958793}",район Хамовники,55.7408354,37.5958793
5087000,"Почтовая Б., 36 ст1",Москва,2499,2035,Универсальное помещение,https://msk.n1.ru/view/115918605/?open_card_kn,"Почтовая Б., 36 ст1, Москва, Россия","{'district': 'Бауманка', 'lat': 55.775998, 'lon': 37.69699}",Бауманка,55.775998,37.69699
35000,"Уральская, 1а",Москва,8333,4,Универсальное помещение,https://msk.n1.ru/view/113036475/?open_card_kn,"Уральская, 1а, Москва, Россия","{'district': 'район Гольяново', 'lat': 55.8106429, 'lon': 37.7978323}",район Гольяново,55.8106429,37.7978323
79990,"2-й Ходынский проезд, 5 ст6",Москва,2051,39,Универсальное помещение,https://msk.n1.ru/view/115533385/?open_card_kn,"2-й Ходынский проезд, 5 ст6, Москва, Россия","{'district': 'Хорошёвский район', 'lat': 55.7835426, 'lon': 37.5299402}",Хорошёвский район,55.7835426,37.5299402
449928,"Конструктора Гуськова, 14 ст2",Москва,1080,416,Универсальное помещение,https://msk.n1.ru/view/111116086/?open_card_kn,"Конструктора Гуськова, 14 ст2, Москва, Россия","{'district': 'район Силино', 'lat': 56.0148953, 'lon': 37.1919892}",район Силино,56.0148953,37.1919892
103680,"проезд улицашоссепр-дпр-д-й, 4 ст4",Москва,1200,86,Универсальное помещение,https://msk.n1.ru/view/114456812/?open_card_kn,"проезд улицашоссепр-дпр-д-й, 4 ст4, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
202080,"проезд улицашоссепр-дпр-д-й, 4 ст4",Москва,1200,168,Универсальное помещение,https://msk.n1.ru/view/114456792/?open_card_kn,"проезд улицашоссепр-дпр-д-й, 4 ст4, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
290000,"Братьев Весниных бульвар, 1",Москва,5025,57,Универсальное помещение,https://msk.n1.ru/view/107332313/?open_card_kn,"Братьев Весниных бульвар, 1, Москва, Россия","{'district': 'Даниловский район', 'lat': 55.6981405, 'lon': 37.6400943}",Даниловский район,55.6981405,37.6400943
13500000,"Конструктора Гуськова, 14 ст2",Москва,1500,9000,Универсальное помещение,https://msk.n1.ru/view/116194719/?open_card_kn,"Конструктора Гуськова, 14 ст2, Москва, Россия","{'district': 'район Силино', 'lat': 56.0148953, 'lon': 37.1919892}",район Силино,56.0148953,37.1919892
520000,"Озерная, 1 корп. 3",Москва,9027,57,Универсальное помещение,https://msk.n1.ru/view/116191642/?open_card_kn,"Озерная, 1 корп. 3, Москва, Россия","{'district': 'Филимонковский район', 'lat': 55.5080336, 'lon': 37.2205281}",Филимонковский район,55.5080336,37.2205281
110000,"Сущевский Вал, 3/5а",Москва,625,176,Универсальное помещение,https://msk.n1.ru/view/109795581/?open_card_kn,"Сущевский Вал, 3/5а, Москва, Россия","{'district': 'район Марьина Роща', 'lat': 55.7926233, 'lon': 37.590741}",район Марьина Роща,55.7926233,37.590741
1184400,"проезд улицашоссепр-дпр-д-й, 4 ст5",Москва,1680,705,Универсальное помещение,https://msk.n1.ru/view/115515578/?open_card_kn,"проезд улицашоссепр-дпр-д-й, 4 ст5, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
2115832,"Ермакова Роща, 1 ст1",Москва,3907,541,Универсальное помещение,https://msk.n1.ru/view/115502566/?open_card_kn,"Ермакова Роща, 1 ст1, Москва, Россия","{'district': 'Пресненский район', 'lat': 55.7565423, 'lon': 37.5292876}",Пресненский район,55.7565423,37.5292876
325326,"Краснопролетарская, 16 ст2",Москва,2917,111,Универсальное помещение,https://msk.n1.ru/view/116171079/?open_card_kn,"Краснопролетарская, 16 ст2, Москва, Россия","{'district': 'Тверской район', 'lat': 55.778899, 'lon': 37.6057019}",Тверской район,55.778899,37.6057019
230000,"Электродная, 2 ст3",Москва,1533,150,Универсальное помещение,https://msk.n1.ru/view/115494643/?open_card_kn,"Электродная, 2 ст3, Москва, Россия","{'district': 'район Перово', 'lat': 55.7520018, 'lon': 37.7543678}",район Перово,55.7520018,37.7543678
30000,"Монтажная, 9 ст1",Москва,1442,20,Универсальное помещение,https://msk.n1.ru/view/114417463/?open_card_kn,"Монтажная, 9 ст1, Москва, Россия","{'district': 'район Метрогородок', 'lat': 55.8231115, 'lon': 37.760137}",район Метрогородок,55.8231115,37.760137
786040,"Бабаевская, 4 ст1",Москва,1459,539,Универсальное помещение,https://msk.n1.ru/view/112941815/?open_card_kn,"Бабаевская, 4 ст1, Москва, Россия","{'district': 'район Сокольники', 'lat': 55.789127, 'lon': 37.6904881}",район Сокольники,55.789127,37.6904881
336000,"проезд улицашоссепр-дпр-д-й, 4 ст2",Москва,1680,200,Универсальное помещение,https://msk.n1.ru/view/113336065/?open_card_kn,"проезд улицашоссепр-дпр-д-й, 4 ст2, Москва, Россия","{'district': 'Адрес не найден', 'lat': None, 'lon': None}",Адрес не найден,,
260000,"Электродная, 2 ст37",Москва,1625,160,Универсальное помещение,https://msk.n1.ru/view/115819581/?open_card_kn,"Электродная, 2 ст37, Москва, Россия","{'district': 'район Перово', 'lat': 55.7520018, 'lon': 37.7543678}",район Перово,55.7520018,37.7543678
3900000,"Конструктора Гуськова, 14 ст2",Москва,1560,2500,Универсальное помещение,https://msk.n1.ru/view/116147478/?open_card_kn,"Конструктора Гуськова, 14 ст2, Москва, Россия","{'district': 'район Силино', 'lat': 56.0148953, 'lon': 37.1919892}",район Силино,56.0148953,37.1919892
150000,"Шелепихинская набережная, 42 корп. 2",Москва,3000,50,Универсальное помещение,https://msk.n1.ru/view/116146433/?open_card_kn,"Шелепихинская набережная, 42 корп. 2, Москва, Россия","{'district': 'Пресненский район', 'lat': 55.7454505, 'lon': 37.5321667}",Пресненский район,55.7454505,37.5321667
1800000,"Авиаконструктора Миля, 26",Москва,1978,910,Универсальное помещение,https://msk.n1.ru/view/116142266/?open_card_kn,"Авиаконструктора Миля, 26, Москва, Россия","{'district': 'район Выхино-Жулебино', 'lat': 55.6774826, 'lon': 37.858263}",район Выхино-Жулебино,55.6774826,37.858263
