"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
1500000,"Пречистенка, 19/11 ст2",Москва,13636,110,Универсальное помещение,https://msk.n1.ru/view/114210381/?open_card_kn
1197919,"Таежная, 1",Москва,1917,625,Универсальное помещение,https://msk.n1.ru/view/115999047/?open_card_kn
274809,"Дмитровка Б., 32 ст4",Москва,4084,67,Универсальное помещение,https://msk.n1.ru/view/116261376/?open_card_kn
386458,"Шумкина, 20 ст1",Москва,1459,265,Универсальное помещение,https://msk.n1.ru/view/116011103/?open_card_kn
68125,"Шумкина, 20 ст1",Москва,2084,32,Универсальное помещение,https://msk.n1.ru/view/115777113/?open_card_kn
320100,"Павелецкий 2-й проезд, 5 ст1",Москва,3000,106,Универсальное помещение,https://msk.n1.ru/view/115502574/?open_card_kn
293601,"Мира проспект, 102 ст17",Москва,2667,110,Универсальное помещение,https://msk.n1.ru/view/114858057/?open_card_kn
684000,"Варшавское шоссе, 170г",Москва,1200,570,Универсальное помещение,https://msk.n1.ru/view/114751732/?open_card_kn
239500,"Дмитровское шоссе, 81",Москва,2661,90,Универсальное помещение,https://msk.n1.ru/view/114113806/?open_card_kn
262800,"Мустая Карима, 12",Москва,3000,87,Универсальное помещение,https://msk.n1.ru/view/113865903/?open_card_kn
75400,"Старопетровский проезд, 9а",Москва,1999,37,Универсальное помещение,https://msk.n1.ru/view/112811168/?open_card_kn
800000,"Масловка Верхн., 20 ст1",Москва,2817,283,Универсальное помещение,https://msk.n1.ru/view/111240795/?open_card_kn
75600,"Вернадского проспект, 105",Москва,2000,37,Универсальное помещение,https://msk.n1.ru/view/93156451/?open_card_kn
276000,"Конструктора Гуськова, 8 ст10",Москва,1380,200,Универсальное помещение,https://msk.n1.ru/view/114562893/?open_card_kn
358800,"проезд улицашоссепр-дпр-д-й, 4 ст4",Москва,1560,230,Универсальное помещение,https://msk.n1.ru/view/114562535/?open_card_kn
106334,"Малая Семеновская, 9 ст3",Москва,1667,63,Универсальное помещение,https://msk.n1.ru/view/114947525/?open_card_kn
644625,"Братьев Весниных бульвар, 1",Москва,3750,171,Универсальное помещение,https://msk.n1.ru/view/77584667/?open_card_kn
6235000,"Варшавское шоссе, 170г",Москва,725,8600,Универсальное помещение,https://msk.n1.ru/view/114944913/?open_card_kn
87600,"проезд улицашоссепр-дпр-д-й, 4 ст4",Москва,2400,36,Универсальное помещение,https://msk.n1.ru/view/114547323/?open_card_kn
2073750,"Причальный проезд, 10 корп. 2",Москва,2916,711,Универсальное помещение,https://msk.n1.ru/view/115261051/?open_card_kn
175350,"Летчика Грицевца (п Внуковское), 5",Москва,1500,116,Универсальное помещение,https://msk.n1.ru/view/113087033/?open_card_kn
596100,"Летчика Ульянина (п Внуковское), 4",Москва,2500,238,Универсальное помещение,https://msk.n1.ru/view/113803399/?open_card_kn
78000,"Электродная, 2 ст3",Москва,1425,54,Универсальное помещение,https://msk.n1.ru/view/113074067/?open_card_kn
1664000,"Хорошевский 2-й проезд, 7 ст17",Москва,2000,832,Универсальное помещение,https://msk.n1.ru/view/116256089/?open_card_kn
11999845,"Нежинская, 13а",Москва,4648,2582,Универсальное помещение,https://msk.n1.ru/view/113790877/?open_card_kn
1500000,"Пречистенка, 19/11 ст2",Москва,13636,110,Универсальное помещение,https://msk.n1.ru/view/114181056/?open_card_kn
260000,"Амурская, 2а корп. 4",Москва,3023,86,Универсальное помещение,https://msk.n1.ru/view/116216006/?open_card_kn
499000,"Сеченовский переулок, 5",Москва,4339,115,Универсальное помещение,https://msk.n1.ru/view/115918879/?open_card_kn
5087000,"Почтовая Б., 36 ст1",Москва,2499,2035,Универсальное помещение,https://msk.n1.ru/view/115918605/?open_card_kn
35000,"Уральская, 1а",Москва,8333,4,Универсальное помещение,https://msk.n1.ru/view/113036475/?open_card_kn
79990,"2-й Ходынский проезд, 5 ст6",Москва,2051,39,Универсальное помещение,https://msk.n1.ru/view/115533385/?open_card_kn
449928,"Конструктора Гуськова, 14 ст2",Москва,1080,416,Универсальное помещение,https://msk.n1.ru/view/111116086/?open_card_kn
103680,"проезд улицашоссепр-дпр-д-й, 4 ст4",Москва,1200,86,Универсальное помещение,https://msk.n1.ru/view/114456812/?open_card_kn
202080,"проезд улицашоссепр-дпр-д-й, 4 ст4",Москва,1200,168,Универсальное помещение,https://msk.n1.ru/view/114456792/?open_card_kn
290000,"Братьев Весниных бульвар, 1",Москва,5025,57,Универсальное помещение,https://msk.n1.ru/view/107332313/?open_card_kn
13500000,"Конструктора Гуськова, 14 ст2",Москва,1500,9000,Универсальное помещение,https://msk.n1.ru/view/116194719/?open_card_kn
520000,"Озерная, 1 корп. 3",Москва,9027,57,Универсальное помещение,https://msk.n1.ru/view/116191642/?open_card_kn
110000,"Сущевский Вал, 3/5а",Москва,625,176,Универсальное помещение,https://msk.n1.ru/view/109795581/?open_card_kn
1184400,"проезд улицашоссепр-дпр-д-й, 4 ст5",Москва,1680,705,Универсальное помещение,https://msk.n1.ru/view/115515578/?open_card_kn
2115832,"Ермакова Роща, 1 ст1",Москва,3907,541,Универсальное помещение,https://msk.n1.ru/view/115502566/?open_card_kn
325326,"Краснопролетарская, 16 ст2",Москва,2917,111,Универсальное помещение,https://msk.n1.ru/view/116171079/?open_card_kn
230000,"Электродная, 2 ст3",Москва,1533,150,Универсальное помещение,https://msk.n1.ru/view/115494643/?open_card_kn
30000,"Монтажная, 9 ст1",Москва,1442,20,Универсальное помещение,https://msk.n1.ru/view/114417463/?open_card_kn
786040,"Бабаевская, 4 ст1",Москва,1459,539,Универсальное помещение,https://msk.n1.ru/view/112941815/?open_card_kn
