"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
200000,"Тосина, 1 корп. 2",Санкт-Петербург,2361,84,Универсальное помещение,https://spb.n1.ru/view/115905928/?open_card_kn
330000,"Заставская, 30",Санкт-Петербург,6600,50,Универсальное помещение,https://spb.n1.ru/view/115285927/?open_card_kn
399384,"проспект Красных Командиров, 44",Санкт-Петербург,1080,369,Универсальное помещение,https://spb.n1.ru/view/114951984/?open_card_kn
490000,"Науки проспект, 23 корп. 2",Санкт-Петербург,8750,56,Универсальное помещение,https://spb.n1.ru/view/115986821/?open_card_kn
3666250,"Реки Мойки набережная, 59",Санкт-Петербург,3500,1047,Универсальное помещение,https://spb.n1.ru/view/115983174/?open_card_kn
31500,"Индустриальный проспект, 11",Санкт-Петербург,750,42,Универсальное помещение,https://spb.n1.ru/view/115970363/?open_card_kn
350000,"Маяковского, 3",Санкт-Петербург,5833,60,Универсальное помещение,https://spb.n1.ru/view/115613437/?open_card_kn
95000,"Выборгское шоссе, 15",Санкт-Петербург,2300,41,Универсальное помещение,https://spb.n1.ru/view/114195214/?open_card_kn
159120,"Салова, 61",Санкт-Петербург,2600,61,Универсальное помещение,https://spb.n1.ru/view/114501131/?open_card_kn
200000,"Лисичанская, 22",Санкт-Петербург,2985,67,Универсальное помещение,https://spb.n1.ru/view/115181879/?open_card_kn
400000,"Кирочная, 19",Санкт-Петербург,5194,77,Универсальное помещение,https://spb.n1.ru/view/116199898/?open_card_kn
351540,"Невский проспект, 173",Санкт-Петербург,2100,167,Универсальное помещение,https://spb.n1.ru/view/116182659/?open_card_kn
210800,"Манежная площадь, 5",Санкт-Петербург,850,248,Универсальное помещение,https://spb.n1.ru/view/115510589/?open_card_kn
686280,"Шлиссельбургский проспект, 17 корп. 1",Санкт-Петербург,600,1143,Универсальное помещение,https://spb.n1.ru/view/114434787/?open_card_kn
670000,"Белинского, 8",Санкт-Петербург,3941,170,Универсальное помещение,https://spb.n1.ru/view/115840021/?open_card_kn
1100000,"Морской проспект, 28",Санкт-Петербург,2972,370,Универсальное помещение,https://spb.n1.ru/view/115820230/?open_card_kn
367200,"Свободы, 57г",Санкт-Петербург,850,432,Универсальное помещение,https://spb.n1.ru/view/113320524/?open_card_kn
360000,"Невский проспект, 136",Санкт-Петербург,6000,60,Универсальное помещение,https://spb.n1.ru/view/116104132/?open_card_kn
550000,"Казанская, 22",Санкт-Петербург,9166,60,Универсальное помещение,https://spb.n1.ru/view/115805435/?open_card_kn
190000,"Салова, 61",Санкт-Петербург,3386,56,Универсальное помещение,https://spb.n1.ru/view/111014705/?open_card_kn
148000,"Заречная, 19 корп. 1",Санкт-Петербург,2000,74,Универсальное помещение,https://spb.n1.ru/view/112849829/?open_card_kn
222000,"Заречная, 19 корп. 1",Санкт-Петербург,2000,111,Универсальное помещение,https://spb.n1.ru/view/112849828/?open_card_kn
66500,"Свободы, 57д",Санкт-Петербург,950,70,Универсальное помещение,https://spb.n1.ru/view/114329383/?open_card_kn
80000,"Предпортовая, 3",Санкт-Петербург,1000,80,Универсальное помещение,https://spb.n1.ru/view/114316933/?open_card_kn
186000,"Энгельса проспект, 31",Санкт-Петербург,3000,62,Универсальное помещение,https://spb.n1.ru/view/115367632/?open_card_kn
